timestamp, ax(m/s^2), ay(m/s^2), omega_z(rad/s)
1703098107465945344,0.288545,10.690415,0.522903
1703098107474385408,0.312904,10.744089,0.522201
1703098107491314944,0.387870,10.652987,0.522042
1703098107499313408,0.442021,10.646738,0.521692
1703098107507750400,0.413207,10.635335,0.518939
1703098107524546304,0.483492,10.640599,0.520075
1703098107541067264,0.550568,10.605463,0.518897
1703098107549240576,0.579110,10.591408,0.517504
1703098107557749504,0.560871,10.598394,0.517024
1703098107565968640,0.622588,10.625640,0.517851
1703098107574335232,0.620882,10.592796,0.515148
1703098107583123456,0.683357,10.577026,0.517229
1703098107590950912,0.681184,10.557797,0.515003
1703098107599575808,0.724495,10.543784,0.514541
1703098107607518464,0.658629,10.513943,0.515588
1703098107616188160,0.744010,10.527220,0.515152
1703098107624289024,0.751570,10.487363,0.512180
1703098107632882176,0.746830,10.535501,0.513895
1703098107640842496,0.778762,10.525720,0.513495
1703098107649455104,0.805379,10.477529,0.513150
1703098107657549568,0.817298,10.523046,0.510269
1703098107666104064,0.867808,10.441297,0.511681
1703098107674329856,0.801603,10.450809,0.511802
1703098107690909184,0.894533,10.426629,0.509504
1703098107699378432,0.917949,10.452528,0.510360
1703098107707619584,0.914336,10.396750,0.509267
1703098107724218624,0.924578,10.424382,0.509727
1703098107732701696,0.983626,10.372074,0.510292
1703098107741121280,1.013434,10.429270,0.508947
1703098107757800448,1.069633,10.433088,0.507899
1703098107766038272,1.070227,10.312505,0.507083
1703098107774475776,1.005167,10.339115,0.507306
1703098107782637824,1.049102,10.368772,0.507154
1703098107791182592,1.062326,10.333642,0.506989
1703098107799161344,1.083895,10.370099,0.507722
1703098107807925504,1.087129,10.326163,0.505737
1703098107816041728,1.100015,10.326562,0.505203
1703098107824280576,1.086783,10.243539,0.505686
1703098107832673536,1.100672,10.264204,0.506201
1703098107841074688,1.117937,10.346434,0.505226
1703098107849198848,1.198246,10.272923,0.505370
1703098107857760256,1.180680,10.280955,0.502489
1703098107865972224,1.150115,10.261848,0.504785
1703098107874487808,1.241485,10.235067,0.504878
1703098107882590720,1.228312,10.277333,0.504217
1703098107891199232,1.219121,10.239464,0.503120
1703098107899257088,1.201504,10.249051,0.504048
1703098107907695104,1.224780,10.241006,0.503856
1703098107915993088,1.185353,10.197857,0.500387
1703098107932778496,1.202156,10.260221,0.502943
1703098107941028864,1.303436,10.217338,0.502852
1703098107949587200,1.255987,10.236442,0.501739
1703098107957634560,1.289852,10.144036,0.501352
1703098107966208256,1.313771,10.196658,0.502082
1703098107974447104,1.269494,10.171951,0.501297
1703098107983033088,1.359527,10.236458,0.501614
1703098107990945024,1.289710,10.179813,0.501252
1703098107999391232,1.323245,10.196374,0.501164
1703098108007725568,1.282644,10.167413,0.499216
1703098108015953152,1.379059,10.242861,0.501893
1703098108024353280,1.310151,10.145476,0.498872
1703098108032779008,1.340222,10.113068,0.501800
1703098108041030912,1.371019,10.151994,0.500361
1703098108049426688,1.351705,10.192823,0.501477
1703098108057481984,1.395562,10.124578,0.501070
1703098108066057216,1.347826,10.170188,0.499400
1703098108082774016,1.393499,10.167662,0.500463
1703098108091107584,1.407027,10.193745,0.497941
